"Course","Predictionlass","Actual","SEC_NAME","PY","Residuallass","Residual2lass","TERM","Predictionrf","Residualrf","Residual2rf","Predictionxg","Residualxg","Residual2xg","Predictionmean","Residualmean","Residual2mean","Dept","DayPat"
"SPA-101",21,13,"SPA-101-01",22,8,-8,"2019WI",19,6,-6,20,7,-7,20,7,-7,"SPA","TUETHU"
"SPA-101",23,28,"SPA-101-02",22,5,5,"2019WI",22,6,6,22,6,6,22,6,6,"SPA","OL"
"SPA-101",20,28,"SPA-101-03",13,8,8,"2019WI",22,6,6,23,5,5,22,6,6,"SPA","OL"
"SPA-102",20,20,"SPA-102-01",11,0,0,"2019WI",14,6,6,14,6,6,16,4,4,"SPA","TUETHU"
"SPA-102",30,29,"SPA-102-02",33,1,-1,"2019WI",30,1,-1,31,2,-2,30,1,-1,"SPA","OL"
"SPA-102",30,33,"SPA-102-03",32,3,3,"2019WI",27,6,6,23,10,10,27,6,6,"SPA","OL"
"SPA-103",30,33,"SPA-103-01",34,3,3,"2019WI",31,2,2,33,0,0,31,2,2,"SPA","OL"
"SPA-103",30,37,"SPA-103-02",35,7,7,"2019WI",31,6,6,33,4,4,31,6,6,"SPA","OL"
"SPA-202",18,19,"SPA-202-01",19,1,1,"2019WI",17,2,2,15,4,4,17,2,2,"SPA","OL"
"SPE-101",16,23,"SPE-101-01",13,7,7,"2019WI",17,6,6,24,1,-1,19,4,4,"SPE","TUETHU"
"SPE-101",19,17,"SPE-101-02",22,2,-2,"2019WI",19,2,-2,22,5,-5,20,3,-3,"SPE","MONWED"
"THE-105A",14,17,"THE-105A-01",17,3,3,"2019WI",14,3,3,13,4,4,14,3,3,"THE","MONWED"
"WLD-102",11,6,"WLD-102-01",10,5,-5,"2019WI",11,5,-5,13,7,-7,12,6,-6,"WLD","TUETHU"
"WLD-107A",11,11,"WLD-107A-01",12,0,0,"2019WI",11,0,0,11,0,0,11,0,0,"WLD","WEDFRISATSUN"
"WLD-112E",11,7,"WLD-112E-01",12,4,-4,"2019WI",11,4,-4,14,7,-7,12,5,-5,"WLD","MONWED"
"WLD-120A",8,7,"WLD-120A-01",3,1,-1,"2019WI",8,1,-1,5,2,2,7,0,0,"WLD","WEDSATSUN"
"WLD-120D",8,1,"WLD-120D-01",7,7,-7,"2019WI",9,8,-8,9,8,-8,9,8,-8,"WLD","WEDSATSUN"
"WLD-125A",9,6,"WLD-125A-01",8,3,-3,"2019WI",10,4,-4,11,5,-5,10,4,-4,"WLD","MONTUE"
"WLD-125B",6,4,"WLD-125B-01",3,2,-2,"2019WI",5,1,-1,8,4,-4,6,2,-2,"WLD","MONTUE"
"WLD-125C",6,1,"WLD-125C-01",3,5,-5,"2019WI",4,3,-3,7,6,-6,6,5,-5,"WLD","MONTUE"
"WLD-126B",6,2,"WLD-126B-01",3,4,-4,"2019WI",5,3,-3,6,4,-4,6,4,-4,"WLD","WEDFRI"
"WLD-127A",12,11,"WLD-127A-01",12,1,-1,"2019WI",11,0,0,12,1,-1,12,1,-1,"WLD","WEDSATSUN"
"WLD-128B",14,12,"WLD-128B-03",11,2,-2,"2019WI",12,0,0,13,1,-1,13,1,-1,"WLD","FRISATSUN"
"WLD-128B",14,10,"WLD-128B-04",12,4,-4,"2019WI",12,2,-2,13,3,-3,13,3,-3,"WLD","FRISATSUN"
"WLD-128B",14,10,"WLD-128B-07",10,4,-4,"2019WI",11,1,-1,11,1,-1,12,2,-2,"WLD","FRISATSUN"
"WLD-128B",14,9,"WLD-128B-09",12,5,-5,"2019WI",12,3,-3,11,2,-2,12,3,-3,"WLD","TUEWEDTHU"
"WLD-128B",12,10,"WLD-128B-10",5,2,-2,"2019WI",9,1,1,7,3,3,9,1,1,"WLD","TUEWEDTHU"
"WLD-128E",13,15,"WLD-128E-02",16,2,2,"2019WI",13,2,2,12,3,3,13,2,2,"WLD","FRISAT"
