SEC_NAME,CRS_NAME,Acad_Year,COURSES_ID,SEC_CAPACITY,NamePY,TERM,TERM_PY,ACTIVE_STUDENT_COUNT,SS_PY,Count_PY,WD_PY,DROP_PY,CC_PY,SEC_Count,AvgSecEnr3yr,AvgSecEnrto,CTE
ANT-107-01,ANT-107,2015,49,30,ANT-107-01,2016SP,2015SP,27,18,26,1,4,0,1,27,27,0
ANT-107-01,ANT-107,2016,49,30,ANT-107-01,2016SU,2015SU,26,27,28,1,4,0,1,22,22,0
ANT-107-01,ANT-107,2015,49,30,ANT-107-01,2016WI,2015WI,21,18,20,4,11,0,1,30,24,0
ANT-107-01,ANT-107,2017,49,33,ANT-107-01,2017FA,2016FA,17,15,17,1,2,0,2,23,24,0
ANT-107-01,ANT-107,2016,49,29,ANT-107-01,2017SP,2016SP,27,25,27,0,5,0,1,27,27,0
ANT-107-01,ANT-107,2017,49,40,ANT-107-01,2017SU,2016SU,35,22,26,1,4,0,1,28,23,0
ANT-107-01,ANT-107,2016,49,35,ANT-107-01,2017WI,2016WI,32,19,21,2,7,0,1,23,23,0
ANT-107-01,ANT-107,2018,49,35,ANT-107-01,2018FA,2017FA,24,15,17,0,1,0,1,22,24,0
ANT-107-01,ANT-107,2017,49,29,ANT-107-01,2018SP,2017SP,9,24,27,0,2,1,2,27,27,0
ANT-107-01,ANT-107,2018,49,35,ANT-107-01,2018SU,2017SU,28,30,35,1,2,0,1,30,26,0
ANT-107-01,ANT-107,2017,49,35,ANT-107-01,2018WI,2017WI,33,26,32,1,4,0,1,26,25,0
ANT-107-01,ANT-107,2019,49,35,ANT-107-01,2019FA,2018FA,29,23,24,2,9,0,1,22,24,0
ANT-107-01,ANT-107,2018,49,35,ANT-107-01,2019SP,2018SP,32,8,9,2,5,0,2,24,25,0
ANT-107-01,ANT-107,2019,49,35,ANT-107-01,2019SU,2018SU,30,24,28,4,6,0,1,30,27,0
ANT-107-01,ANT-107,2018,49,35,ANT-107-01,2019WI,2018WI,28,31,33,2,3,0,1,28,27,0
ANT-107-02,ANT-107,2016,49,30,ANT-107-02,2016FA,2015FA,25,13,18,4,6,0,2,25,25,0
ANT-107-02,ANT-107,2017,49,35,ANT-107-02,2017FA,2016FA,27,20,25,1,5,0,2,23,24,0
ANT-107-02,ANT-107,2018,49,32,ANT-107-02,2019SP,2018SP,25,23,28,2,8,0,2,24,25,0
ANT-108-01,ANT-108,2015,50,30,ANT-108-01,2016SP,2015SP,13,18,21,4,7,0,1,20,20,0
ANT-108-01,ANT-108,2018,50,35,ANT-108-01,2018SU,2017SU,14,9,14,1,3,0,1,15,15,0
ART-101-01,ART-101,2013,80,24,ART-101-01,2013FA,2012FA,11,10,13,4,12,0,1,37,17,0
ART-101-01,ART-101,2014,80,24,ART-101-01,2014FA,2013FA,11,7,11,3,11,0,1,19,15,0
ART-101-01,ART-101,2015,80,24,ART-101-01,2015FA,2014FA,6,5,11,1,6,0,1,13,14,0
